2023-05-25 17:20:47.2602|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending HEADERS frame for stream ID 9 with length 34 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2766|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending HEADERS frame for stream ID 11 with length 60 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2766|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 11 with length 11990 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2766|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2766|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2766|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2766|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.3004|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.3004|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.3204|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.3204|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.3239|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 11 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
